[2022-03-31 09:46:40] open
[2022-03-31 09:46:41] {"id":"lunausdt","status":"ok","subbed":"market.lunausdt.kline.60min","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"lunausdt","status":"ok","subbed":"market.lunausdt.kline.4hour","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"lunausdt","status":"ok","subbed":"market.lunausdt.kline.1day","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"lunausdt","status":"ok","subbed":"market.lunausdt.kline.1week","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"lunausdt","status":"ok","subbed":"market.lunausdt.trade.detail","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"lunausdt","status":"ok","subbed":"market.lunausdt.detail","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"trxusdt","status":"ok","subbed":"market.trxusdt.depth.step0","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"trxusdt","status":"ok","subbed":"market.trxusdt.kline.1min","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"trxusdt","status":"ok","subbed":"market.trxusdt.kline.5min","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"trxusdt","status":"ok","subbed":"market.trxusdt.kline.15min","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"trxusdt","status":"ok","subbed":"market.trxusdt.kline.30min","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"trxusdt","status":"ok","subbed":"market.trxusdt.kline.60min","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"trxusdt","status":"ok","subbed":"market.trxusdt.kline.4hour","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"trxusdt","status":"ok","subbed":"market.trxusdt.kline.1day","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"trxusdt","status":"ok","subbed":"market.trxusdt.kline.1week","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"trxusdt","status":"ok","subbed":"market.trxusdt.trade.detail","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"trxusdt","status":"ok","subbed":"market.trxusdt.detail","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"xmrusdt","status":"ok","subbed":"market.xmrusdt.depth.step0","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"xmrusdt","status":"ok","subbed":"market.xmrusdt.kline.1min","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"xmrusdt","status":"ok","subbed":"market.xmrusdt.kline.5min","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"xmrusdt","status":"ok","subbed":"market.xmrusdt.kline.15min","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"xmrusdt","status":"ok","subbed":"market.xmrusdt.kline.30min","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"xmrusdt","status":"ok","subbed":"market.xmrusdt.kline.60min","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"xmrusdt","status":"ok","subbed":"market.xmrusdt.kline.4hour","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"xmrusdt","status":"ok","subbed":"market.xmrusdt.kline.1day","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"xmrusdt","status":"ok","subbed":"market.xmrusdt.kline.1week","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"xmrusdt","status":"ok","subbed":"market.xmrusdt.trade.detail","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"xmrusdt","status":"ok","subbed":"market.xmrusdt.detail","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"scusdt","status":"ok","subbed":"market.scusdt.depth.step0","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"scusdt","status":"ok","subbed":"market.scusdt.kline.1min","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"scusdt","status":"ok","subbed":"market.scusdt.kline.5min","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"scusdt","status":"ok","subbed":"market.scusdt.kline.15min","ts":1648691201045}
[2022-03-31 09:46:41] {"id":"scusdt","status":"ok","subbed":"market.scusdt.kline.30min","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"scusdt","status":"ok","subbed":"market.scusdt.kline.60min","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"scusdt","status":"ok","subbed":"market.scusdt.kline.4hour","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"scusdt","status":"ok","subbed":"market.scusdt.kline.1day","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"scusdt","status":"ok","subbed":"market.scusdt.kline.1week","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"scusdt","status":"ok","subbed":"market.scusdt.trade.detail","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"scusdt","status":"ok","subbed":"market.scusdt.detail","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"enjusdt","status":"ok","subbed":"market.enjusdt.depth.step0","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"enjusdt","status":"ok","subbed":"market.enjusdt.kline.1min","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"enjusdt","status":"ok","subbed":"market.enjusdt.kline.5min","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"enjusdt","status":"ok","subbed":"market.enjusdt.kline.15min","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"enjusdt","status":"ok","subbed":"market.enjusdt.kline.30min","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"enjusdt","status":"ok","subbed":"market.enjusdt.kline.60min","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"enjusdt","status":"ok","subbed":"market.enjusdt.kline.4hour","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"enjusdt","status":"ok","subbed":"market.enjusdt.kline.1day","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"enjusdt","status":"ok","subbed":"market.enjusdt.kline.1week","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"enjusdt","status":"ok","subbed":"market.enjusdt.trade.detail","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"enjusdt","status":"ok","subbed":"market.enjusdt.detail","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"zksusdt","status":"ok","subbed":"market.zksusdt.depth.step0","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"zksusdt","status":"ok","subbed":"market.zksusdt.kline.1min","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"zksusdt","status":"ok","subbed":"market.zksusdt.kline.5min","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"zksusdt","status":"ok","subbed":"market.zksusdt.kline.15min","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"zksusdt","status":"ok","subbed":"market.zksusdt.kline.30min","ts":1648691201046}
